"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"5218887","kunadhja gushebardhe","sqi","sq","Albanian","albanais","Albanisch"
"2432655","lakuriqnate hundepatkua i madh","sqi","sq","Albanian","albanais","Albanisch"
"2350050","larëza këlyshlindëse","sqi","sq","Albanian","albanais","Albanisch"
"2350050","lareza tripikaloshe","sqi","sq","Albanian","albanais","Albanisch"
"2350050","larëza tripikaloshe","sqi","sq","Albanian","albanais","Albanisch"
"2498009","laroshja","sqi","sq","Albanian","albanais","Albanisch"
"7952072","lepuri i eger","sqi","sq","Albanian","albanais","Albanisch"
"2436940","lepuri i eger i vogel","sqi","sq","Albanian","albanais","Albanisch"
"2436886","lepuri i florides","sqi","sq","Albanian","albanais","Albanisch"
"2436940","lepuri i sazanit","sqi","sq","Albanian","albanais","Albanisch"
"2290374","lignja","sqi","sq","Albanian","albanais","Albanisch"
"2289671","likurishtja","sqi","sq","Albanian","albanais","Albanisch"
"2495455","llabatani","sqi","sq","Albanian","albanais","Albanisch"
"2433753","lunderza","sqi","sq","Albanian","albanais","Albanisch"
"2433753","lundërza","sqi","sq","Albanian","albanais","Albanisch"
"2433753","lundra","sqi","sq","Albanian","albanais","Albanisch"
"2433753","lunza","sqi","sq","Albanian","albanais","Albanisch"
"2433753","lutra","sqi","sq","Albanian","albanais","Albanisch"
"7964291","macja e eger","sqi","sq","Albanian","albanais","Albanisch"
"2436618","majmun makak","sqi","sq","Albanian","albanais","Albanisch"
"2437377","marmota","sqi","sq","Albanian","albanais","Albanisch"
