scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Alisterus amboinensis,22685051,Moluccan King-parrot,"Ambon King-parrot, Moluccan King Parrot, Moluccan King-Parrot",
Alisterus chloropterus,22685058,Papuan King-parrot,"Papuan King Parrot, Papuan King-Parrot",
Alisterus scapularis,22685046,Australian King-parrot,"Australian King Parrot, Australian King-Parrot",
Alle alle,22694837,Little Auk,Dovekie,
Allenia fusca,22711140,Scaly-breasted Thrasher,,"Allenia fusca, Allenia fusca fuscus, Margarops fuscus"
Alophoixus bres,103821243,Brown-cheeked Bulbul,,
Alophoixus flaveolus,22713140,White-throated Bulbul,,
Alophoixus frater,103821499,Palawan Bulbul,,
Alophoixus griseiceps,103819928,Grey-crowned Bulbul,,
Alophoixus ochraceus,103821072,Ochraceous Bulbul,,
Alophoixus pallidus,103819799,Puff-throated Bulbul,,
Alophoixus phaeocephalus,22713152,Yellow-bellied Bulbul,,
Alophoixus ruficrissus,103821125,Chestnut-vented Bulbul,,
Alophoixus tephrogenys,103821318,Grey-cheeked Bulbul,,
Alopochelidon fucata,22712146,Tawny-headed Swallow,,Stelgidopteryx fucata fucata
Alopochen aegyptiaca,22679993,Egyptian Goose,,Alopochen aegyptiacus
Alopochen kervazoi,22729490,Reunion Shelduck,Réunion Shelduck,Mascarenachen kervazoi
Alopochen mauritiana,22728658,Mauritius Shelduck,Mauritian Shelduck,Alopochen mauritianus
Amadina erythrocephala,22719932,Red-headed Finch,,
Amadina fasciata,22719927,Cut-throat Finch,Cut-throat,
Amalocichla incerta,22704761,Lesser Ground-robin,Lesser Ground Robin,
Amalocichla sclateriana,22704757,Greater Ground-robin,Greater Ground Robin,
